step	level	max error	mean error	time
0	8	2.10514e-005	3.44173e-006	18.347
0	8	2.3844e-005	3.61066e-006	18.4735
0	8	1.78638e-005	3.23448e-006	18.6106
0	8	1.52575e-005	3.0343e-006	18.7502
0	8	1.49174e-005	2.92564e-006	18.9013
0	8	1.43481e-005	2.74677e-006	19.0542
0	8	1.83021e-005	2.77707e-006	19.2142
0	8	1.34293e-005	2.67319e-006	19.3818
0	8	1.46551e-005	2.62628e-006	19.5518
0	8	1.28047e-005	2.43773e-006	19.7312
0	8	1.50537e-005	2.37134e-006	19.9148
0	8	1.20747e-005	2.08147e-006	20.1068
0	8	1.20747e-005	2.08147e-006	20.1078
0	9	3.60799e-005	9.49171e-006	20.1178
0	9	2.68251e-005	6.0212e-006	20.1339
0	9	2.35593e-005	4.88514e-006	20.1559
0	9	2.84203e-005	5.06722e-006	20.1829
0	9	2.42484e-005	5.44975e-006	20.2149
0	9	2.67004e-005	4.99635e-006	20.253
0	9	2.64043e-005	5.76253e-006	20.2972
0	9	2.33378e-005	4.49255e-006	20.3468
0	9	2.32594e-005	4.3868e-006	20.4025
0	9	1.75518e-005	3.57707e-006	20.4634
0	9	1.87107e-005	3.29537e-006	20.5295
0	9	1.87098e-005	3.43335e-006	20.6021
0	9	4.65035e-005	4.68703e-006	20.6792
0	9	2.16283e-005	3.86851e-006	20.7649
0	9	1.90223e-005	3.6266e-006	20.8543
0	9	2.26432e-005	3.56493e-006	20.9486
0	9	1.92211e-005	3.45265e-006	21.0498
0	9	2.2727e-005	3.81545e-006	21.1568
0	9	2.51738e-005	3.75216e-006	21.2701
0	9	2.09878e-005	3.24936e-006	21.3912
0	9	1.99046e-005	3.22087e-006	21.5168
0	9	1.8659e-005	2.57827e-006	21.6486
0	9	1.33229e-005	2.48087e-006	21.788
0	9	1.28232e-005	2.40852e-006	21.9306
0	9	1.4192e-005	2.38396e-006	22.08
0	9	1.10964e-005	2.19511e-006	22.2349
0	9	1.08972e-005	2.11906e-006	22.3946
0	9	1.07692e-005	2.05231e-006	22.5609
0	9	1.31728e-005	2.07809e-006	22.7416
0	9	1.05579e-005	1.94858e-006	22.9242
0	9	1.07526e-005	1.86229e-006	23.1178
0	9	1.18126e-005	1.86635e-006	23.3183
0	9	1.18126e-005	1.86635e-006	23.3203
0	10	5.14146e-005	1.41068e-005	23.3347
0	10	3.24476e-005	7.68864e-006	23.35
0	10	3.98385e-005	1.01846e-005	23.3733
0	10	2.3846e-005	4.68651e-006	23.4025
0	10	2.69471e-005	5.6131e-006	23.4373
0	10	1.69489e-005	4.92567e-006	23.4783
0	10	2.04629e-005	4.51087e-006	23.5246
0	10	1.76961e-005	3.82312e-006	23.5805
0	10	2.20055e-005	3.97358e-006	23.6502
0	10	3.86211e-005	5.28432e-006	23.7295
0	10	1.89067e-005	3.89681e-006	23.8078
0	10	1.92276e-005	4.10916e-006	23.8929
0	10	1.95241e-005	3.69232e-006	23.9869
0	10	1.91724e-005	4.07221e-006	24.0822
0	10	1.8731e-005	3.27257e-006	24.1847
0	10	2.22998e-005	3.28317e-006	24.3049
0	10	1.55836e-005	2.62492e-006	24.4284
0	10	1.73484e-005	2.82574e-006	24.5499
0	10	1.64544e-005	2.60128e-006	24.6696
0	10	1.34271e-005	2.31322e-006	24.799
0	10	1.33925e-005	2.14517e-006	24.938
0	10	9.29347e-006	2.01807e-006	25.0769
0	10	9.34644e-006	2.01502e-006	25.2214
0	10	1.34153e-005	1.99474e-006	25.3648
0	10	1.51079e-005	1.99825e-006	25.505
0	10	1.03846e-005	1.89885e-006	25.661
0	10	1.15488e-005	1.80395e-006	25.8469
0	10	1.1193e-005	1.77697e-006	26.0339
0	10	8.2589e-006	1.74959e-006	26.2287
0	10	1.00506e-005	1.7893e-006	26.4428
0	10	1.55835e-005	1.79914e-006	26.6521
0	10	1.05623e-005	1.75428e-006	26.8721
0	10	1.05623e-005	1.75428e-006	26.8741
0	11	4.23775e-005	1.63398e-005	26.8869
0	11	2.38645e-005	7.39555e-006	26.9087
0	11	3.81205e-005	8.58531e-006	26.9385
0	11	2.24953e-005	5.86667e-006	26.9726
0	11	2.11314e-005	4.42067e-006	27.0156
0	11	2.02265e-005	4.10515e-006	27.0592
0	11	2.48404e-005	4.50124e-006	27.1077
0	11	2.06917e-005	3.58954e-006	27.1608
0	11	2.39869e-005	3.70757e-006	27.2206
0	11	2.32952e-005	3.44672e-006	27.2916
0	11	2.36964e-005	3.5662e-006	27.376
0	11	1.82229e-005	3.13302e-006	27.4639
0	11	1.43996e-005	2.76084e-006	27.5559
0	11	1.09758e-005	2.44724e-006	27.6439
0	11	1.06671e-005	2.5595e-006	27.7463
0	11	1.03659e-005	2.46908e-006	27.8487
0	11	1.03659e-005	2.46908e-006	27.8507
0	12	2.53315e-005	7.51729e-006	27.8619
0	12	2.38419e-005	4.93009e-006	27.8779
0	12	1.81715e-005	4.56664e-006	27.8989
0	12	3.18756e-005	6.83005e-006	27.9278
0	12	4.04186e-005	5.88192e-006	27.9599
0	12	2.26312e-005	3.28435e-006	27.9986
0	12	2.12636e-005	3.81265e-006	28.043
0	12	2.17246e-005	3.58065e-006	28.0932
0	12	1.56769e-005	2.93244e-006	28.1468
0	12	1.7233e-005	3.19043e-006	28.2093
0	12	1.99846e-005	3.47943e-006	28.2753
0	12	1.80586e-005	2.98922e-006	28.3541
0	12	1.52731e-005	2.9766e-006	28.4446
0	12	1.20977e-005	2.5212e-006	28.5405
0	12	1.15922e-005	2.36765e-006	28.6449
0	12	1.06457e-005	2.19542e-006	28.7448
0	12	1.0258e-005	2.08697e-006	28.855
0	12	1.26817e-005	2.0905e-006	28.9681
0	12	9.21516e-006	1.92088e-006	29.084
0	12	1.77642e-005	2.04445e-006	29.2088
0	12	1.60518e-005	2.15557e-006	29.3307
0	12	1.18442e-005	1.90974e-006	29.4742
0	12	9.418e-006	1.834e-006	29.6142
0	12	8.43548e-006	1.69479e-006	29.7573
0	12	8.79731e-006	1.66553e-006	29.9048
0	12	1.25784e-005	1.70251e-006	30.0635
0	12	1.10801e-005	1.71089e-006	30.2356
0	12	9.19067e-006	1.58042e-006	30.4095
0	12	8.6486e-006	1.50783e-006	30.5858
0	12	1.12583e-005	1.44364e-006	30.7807
0	12	1.00748e-005	1.46502e-006	30.9769
0	12	6.93209e-006	1.37537e-006	31.1823
0	12	6.93209e-006	1.37537e-006	31.1843
